url, rating, price, sales, category, name, description,
https://www.etsy.com/listing/778293614/fishman-donut-face-mask-coverlet-phish,4.9359,19.99,78,Bath & Beauty  Skin Care  Facial Care  Skin Treatment Masks,Fishman Donut Face Mask Coverlet Phish Donut Face Mask Face Mask Cover Coverlet Phish Face Mask Phish Face Mask Cover,,
https://www.etsy.com/listing/749407141/phish-personalized-wood-sign-come-waste,4.8644,40,59,Home & Living  Home D�cor  Wall D�cor,Phish -Personalized Wood Sign - Come Waste Your Time With Me -  Custom Gift - Waste - Wedding - Anniversary,,
https://www.etsy.com/listing/399247859/phish-scrunchie-fishman-donut,5,6,496,Accessories  Hair Accessories,Phish Scrunchie Fishman Donut,,
https://www.etsy.com/listing/511429369/phish-fishman-donut-retractable-id-badge,4.9758,12,934,Accessories  Keychains & Lanyards  Lanyards & Badge Holders,Phish Fishman Donut Retractable ID Badge Clip Reel Lanyard Pin,,
https://www.etsy.com/listing/585346164/teal-phish-dog-collar-webbing-phish,4.9652,10,721,Pet Supplies  Pet Collars & Leashes  Pet Collars & Jewelry,Teal Phish Dog Collar (Webbing) Phish Medley Dog Collar Phish Gift Jam Band Dog Collar Phish Merch Phish Leash (sold separately),,
https://www.etsy.com/listing/739882884/strange-design-mousepad-phish-mousepad,4.9336,14,535,Home & Living  Office  Office & Desk Storage,Strange Design Mousepad / Phish Mousepad / Phan Gift,,
https://www.etsy.com/listing/782719259/they-call-me-the-sloth-phish-inspired,5,15.5,12,Clothing  Unisex Kids' Clothing  Bodysuits,They call me the sloth Phish inspired baby bodysuit,,
https://www.etsy.com/listing/492447438/phish-baby-noob-one-piece-bodysuit,5,19.99,119,Clothing  Unisex Kids' Clothing  Bodysuits,Phish Baby Noob one piece Bodysuit,,
https://www.etsy.com/listing/655140865/phish-sticker-fishman-donuts-phish-print,4.8014,3,347,Paper & Party Supplies  Paper  Stickers Labels & Tags  Bumper Stickers,Phish Sticker Fishman Donuts Phish Print Phish Art,,
https://www.etsy.com/listing/575465956/phish-fuego-can-cooler,4.9758,7,934,Accessories,Phish Fuego Can Cooler,,
https://www.etsy.com/listing/661718496/phish-donuts-koozies-fishman-donuts,4.8014,5.5,347,Home & Living  Kitchen & Dining  Drink & Barware  Drinkware  Cozies,Phish Donuts Koozies Fishman Donuts Phish Koozies,,
https://www.etsy.com/listing/710297974/phish-donuts-cotton-woven-blanket,4.9359,89,78,Home & Living  Bedding  Blankets & Throws,Phish Donuts Cotton Woven Blanket Fishman Donuts Blanket Phish Donuts Blanket,,
https://www.etsy.com/listing/629125647/phish-lizard-pin,4.9585,11,524,Accessories  Patches & Pins  Pins & Pinback Buttons,Phish Lizard Pin,,
https://www.etsy.com/listing/687178717/phish-song-lyric-wood-sign-phish-wall,4.807,20,57,Home & Living  Home D�cor  Wall D�cor  Wall Hangings  Signs,Phish Song Lyric Wood Sign | Phish Wall Art | Song Lyric Signs,,
https://www.etsy.com/listing/546871761/phish-poster-the-bakers-dozen-madison,4.9839,25,625,Art & Collectibles  Prints  Music & Movie Posters,Phish Poster - The Baker&#39,s Dozen - Madison Square Garden NYC 2017,
https://www.etsy.com/listing/765448355/phish-inspired-llama-baby-gift-birthday,5,18,1547,Clothing  Unisex Kids' Clothing  Unisex Baby Clothing  Bodysuits,Phish Inspired Llama Baby Gift Birthday Gift Baby Shower Gift Phish Phan Baby Gift Custom Design Llama Phish One Piece Bodysuit Phish Llama,,
https://www.etsy.com/listing/710474656/phish-japanese-meatstick-print,5,16.99,21,Art & Collectibles  Prints  Digital Prints,Phish Japanese Meatstick Print,,
https://www.etsy.com/listing/629667103/phish-donut-banner-phish-pennant-banner,5,15,111,Paper & Party Supplies  Party Supplies  Party D�cor  Banners & Signs,Phish Donut Banner - Phish Pennant Banner - Phish Birthday Banner - Fishman Donut Banner - Phish Flag,,
https://www.etsy.com/listing/745171596/charleston-phish-print-fall-tour-phish,4.9636,15,336,Art & Collectibles  Prints  Wood & Linocut Prints,CHARLESTON PHISH PRINT Fall Tour Phish print Phish poster Phish art Phan art,,
https://www.etsy.com/listing/612952638/phish-donut-extra-life,4.9585,2.75,524,Art & Collectibles  Prints  Digital Prints,Phish Donut Extra Life,,
https://www.etsy.com/listing/699064192/phish-alpine-valley-silhouette-tshirt,4.9268,25,457,Clothing  Unisex Adult Clothing  Tops & Tees  T-shirts,Phish Alpine Valley Silhouette Tshirt,,
https://www.etsy.com/listing/665657693/phish-santos-space-sticker-3-x-252,5,3,588,Art & Collectibles,Phish SANTOS Space Sticker 3&quot, x 2.52&quot, Glossy Vinyl
https://www.etsy.com/listing/601385444/custom-phish-donuts-dog-bandana-over-the,4.9241,10,175,Pet Supplies  Pet Clothing Accessories & Shoes  Pet Accessories  Pet Neckwear,Custom Phish Donuts Dog Bandana (Over the Collar Fishman Dress),,
https://www.etsy.com/listing/741909937/phish-gift-tour-student-essentials-gift,4.9758,28,934,Home & Living  Kitchen & Dining  Drink & Barware  Drinkware  Water Bottles,Phish Gift Tour  Student Essentials Gift Set,,
https://www.etsy.com/listing/224229273/phish-trey-pint-glass-customizable,4.9511,11,969,Home & Living  Kitchen & Dining  Drink & Barware,Phish Trey Pint Glass Customizable,,
https://www.etsy.com/listing/619788393/phish-baby-gift-bottle,4.9758,10,934,Accessories  Baby Accessories,Phish Baby Gift Bottle,,
https://www.etsy.com/listing/754753480/phish-baby-onesiechildrens-tee-phish-dr,4.986,20,266,Clothing  Unisex Kids' Clothing  Tops & Tees,Phish Baby Onesie/Childrens Tee - Phish - Dr Seuss - Childrens Clothing,,
https://www.etsy.com/listing/774247193/phish-groomsmen-teku-beer-glasses,4.9511,25,969,Home & Living  Kitchen & Dining  Drink & Barware  Barware,Phish Groomsmen Teku Beer Glasses,,
https://www.etsy.com/listing/481535616/phish-pint-glass-set-of-4,5,25,496,Home & Living  Kitchen & Dining  Drink & Barware  Barware,Phish Pint Glass - Set of 4,,
https://www.etsy.com/listing/227145062/fishman-dog-harness-the-fishman-phish,4.9652,27,721,Pet Supplies  Pet Collars & Leashes  Pet Harnesses & Backpacks,Fishman Dog Harness The Fishman Phish Dog Harness Fishman Donut Harness Fishman Harness  Phish Harness  Dog Harness Phish,,
https://www.etsy.com/listing/260392533/phish-picture-frame-fishman,5,15,496,Home & Living  Home D�cor,Phish Picture Frame - Fishman,,
https://www.etsy.com/listing/771946234/phish-more-love-and-light-black-mug-15oz,4.9359,19,78,Home & Living  Kitchen & Dining  Drink & Barware  Drinkware  Mugs,Phish &quot,More&quot, Love and Light Black Mug 15oz Phish Coffee Mug Phish Mug More Mug Phish Lyric Mug
https://www.etsy.com/listing/537693844/womens-phish-fishman-donut-print-tank,4.9249,15,2259,Clothing  Women's Clothing,Women&#39,s Phish Fishman Donut Print Tank Top / Phish Shirt / You Enjoy My Shirt,
https://www.etsy.com/listing/484949543/phish-fishman-donut-dog-shirt-pet,4.9249,16,2259,Pet Supplies,Phish Fishman Donut Dog Shirt / Pet Clothes / You Enjoy My Shirt,,
https://www.etsy.com/listing/777865869/phish-baby-sloth-print-waste-kids-prints,5,22,181,Art & Collectibles  Prints  Digital Prints,Phish Baby Sloth Print / Waste / Kids Prints / Music Baby / Kids Phish Decor,,
https://www.etsy.com/listing/665074116/phish-raised-donuts-plastic-license,4.9799,14.5,1213,Electronics & Accessories  Car Parts & Accessories  Car Accessories,Phish / Raised Donuts / Plastic License Plate Frame,,
https://www.etsy.com/listing/683265242/phish-wood-song-lyric-sign-phish-wall,4.807,20,57,Home & Living  Home D�cor  Wall D�cor  Wall Hangings  Signs,Phish Wood Song Lyric Sign | Phish Wall Art | Phish Gift | Just Relax,,
https://www.etsy.com/listing/160725332/phish-dog-collar-fishman-dog-collar,4.9652,13,721,Pet Supplies  Pet Collars & Leashes  Pet Collars & Jewelry,Phish Dog Collar Fishman Dog Collar Fishman Donut Plastic Buckle  Collar Fishman Donut Dog Collar Phish Dog Leash (sold separately),,
https://www.etsy.com/listing/767996418/my-sweet-one-phish-inspired-baby,5,15.5,12,Clothing  Unisex Kids' Clothing  Bodysuits,My sweet one phish inspired baby bodysuit,,
https://www.etsy.com/listing/756156176/phish-inspired-bathtub-gin-wall-decor,5,10.5,12,Home & Living  Home D�cor  Wall D�cor  Wall Hangings  Signs,Phish inspired Bathtub gin wall decor,,
https://www.etsy.com/listing/662501989/antelope-face-mask-headpiece-phish,4.6,15,65,Bath & Beauty  Personal Care  Face Masks & Coverings,Antelope Face Mask - Headpiece - Phish,,
https://www.etsy.com/listing/793784813/fishman-classic-donuts-face-mask-phish,5,24,13,Bath & Beauty  Personal Care  Face Masks & Coverings,Fishman Classic Donuts Face Mask. Phish Tour,,
https://www.etsy.com/listing/673564741/the-phish-bandana,3,10,2,Pet Supplies  Pet Clothing Accessories & Shoes  Pet Accessories  Pet Neckwear,The PHISH Bandana,,
https://www.etsy.com/listing/778550934/phish-donut-face-shield-neck-gaiter-half,4.9839,24,625,Accessories  Scarves & Wraps  Bandanas,Phish Donut Face Shield / Neck Gaiter Half the proceeds are donated to health care workers PPE & feeding communities in need,,
https://www.etsy.com/listing/562246758/phish-fishman-donut-stickerdonut,4.8162,3.55,330,Paper & Party Supplies  Paper  Stickers Labels & Tags  Bumper Stickers,Phish Fishman Donut StickerDonut StickerFishman Donut StickerPhish Decal Phish VinylPhish Sticker Phish Decal Phish Donut Decal,,
https://www.etsy.com/listing/792213869/phish-rescue-squad-face-mask-coverlet,4.9359,19.99,78,Bath & Beauty  Skin Care  Facial Care  Skin Treatment Masks,Phish Rescue Squad Face Mask Coverlet Phish Clone Donuts Face Mask Phish Send in the Clones Face Mask Cover Phish Face Mask Cover,,
https://www.etsy.com/listing/593333415/donut-face-mask-headpiece-phish,4.6,15,65,Accessories  Hats & Caps,Donut Face Mask - Headpiece - Phish,,
